value_ns,percentile,cumulative_count
0.0,0.023595,475
10.0,25.994863,523307
20.0,83.862240,1688245
30.0,98.740808,1987768
40.0,99.594708,2004958
50.0,99.685364,2006783
60.0,99.817298,2009439
70.0,99.825047,2009595
80.0,99.829220,2009679
90.0,99.849686,2010091
100.0,99.869406,2010488
110.0,99.871592,2010532
120.0,99.873281,2010566
130.0,99.878745,2010676
140.0,99.891313,2010929
150.0,99.904725,2011199
160.0,99.916398,2011434
170.0,99.922210,2011551
180.0,99.922955,2011566
190.0,99.923452,2011576
200.0,99.923899,2011585
210.0,99.925042,2011608
220.0,99.927178,2011651
230.0,99.931797,2011744
240.0,99.944663,2012003
250.0,99.960062,2012313
260.0,99.968606,2012485
270.0,99.971487,2012543
280.0,99.973424,2012582
290.0,99.974418,2012602
300.0,99.975163,2012617
310.0,99.975958,2012633
320.0,99.978243,2012679
330.0,99.982018,2012755
340.0,99.989717,2012910
350.0,99.991555,2012947
360.0,99.992599,2012968
370.0,99.993443,2012985
380.0,99.993791,2012992
390.0,99.994238,2013001
400.0,99.995082,2013018
410.0,99.995281,2013022
420.0,99.995778,2013032
430.0,99.996125,2013039
440.0,99.996473,2013046
450.0,99.996672,2013050
460.0,99.996871,2013054
470.0,99.997218,2013061
480.0,99.997467,2013066
490.0,99.997765,2013072
500.0,99.998112,2013079
510.0,99.998460,2013086
520.0,99.998510,2013087
530.0,99.998857,2013094
540.0,99.999106,2013099
550.0,99.999255,2013102
560.0,99.999503,2013107
580.3,99.999603,2013109
610.3,99.999652,2013110
620.3,99.999702,2013111
630.3,99.999752,2013112
640.3,99.999801,2013113
660.3,99.999851,2013114
670.3,99.999901,2013115
770.3,99.999950,2013116
9688.6,100.000000,2013117
