value_ns,percentile,cumulative_count
0.0,28.937109,582096
10.0,99.133472,1994159
20.0,99.996570,2011521
30.0,99.998509,2011560
40.0,99.998608,2011562
70.0,99.998658,2011563
90.0,99.998956,2011569
100.0,99.999006,2011570
120.0,99.999105,2011572
130.0,99.999155,2011573
140.0,99.999254,2011575
150.0,99.999304,2011576
170.0,99.999403,2011578
180.0,99.999453,2011579
210.0,99.999503,2011580
220.0,99.999553,2011581
250.0,99.999602,2011582
260.0,99.999652,2011583
270.0,99.999751,2011585
300.0,99.999801,2011586
380.0,99.999851,2011587
470.0,99.999901,2011588
480.0,99.999950,2011589
490.0,100.000000,2011590
