value_ns,percentile,cumulative_count
0.0,29.590431,595690
10.0,96.658763,1945854
20.0,96.805153,1948801
30.0,96.806644,1948831
40.0,96.828004,1949261
50.0,96.844595,1949595
60.0,96.845240,1949608
70.0,96.845290,1949609
80.0,96.845489,1949613
90.0,97.552601,1963848
100.0,99.959267,2012297
110.0,99.993244,2012981
120.0,99.997516,2013067
130.0,99.997765,2013072
140.0,99.997963,2013076
150.0,99.998112,2013079
160.0,99.998212,2013081
170.0,99.998311,2013083
190.0,99.998361,2013084
200.0,99.998510,2013087
210.0,99.998559,2013088
220.0,99.998708,2013091
240.0,99.998808,2013093
250.0,99.999007,2013097
260.0,99.999056,2013098
270.0,99.999106,2013099
280.0,99.999156,2013100
290.0,99.999205,2013101
300.0,99.999255,2013102
320.0,99.999305,2013103
330.0,99.999404,2013105
340.0,99.999454,2013106
350.0,99.999503,2013107
360.0,99.999553,2013108
370.0,99.999652,2013110
380.0,99.999702,2013111
390.0,99.999801,2013113
410.0,99.999851,2013114
520.0,99.999901,2013115
540.0,99.999950,2013116
560.0,100.000000,2013117
