value_ns,percentile,cumulative_count
10.0,19.171218,399218
20.0,98.314190,2047277
30.0,99.817229,2078576
40.0,99.830050,2078843
50.0,99.835717,2078961
60.0,99.842632,2079105
70.0,99.848491,2079227
80.0,99.854205,2079346
90.0,99.860352,2079474
100.0,99.878360,2079849
110.0,99.889502,2080081
120.0,99.896897,2080235
130.0,99.902227,2080346
140.0,99.907222,2080450
150.0,99.912360,2080557
160.0,99.917642,2080667
170.0,99.922397,2080766
180.0,99.927535,2080873
190.0,99.932001,2080966
200.0,99.936419,2081058
210.0,99.940693,2081147
220.0,99.944054,2081217
230.0,99.948280,2081305
240.0,99.952939,2081402
250.0,99.957837,2081504
260.0,99.961486,2081580
270.0,99.965040,2081654
280.0,99.967921,2081714
290.0,99.970178,2081761
300.0,99.972531,2081810
310.0,99.975077,2081863
320.0,99.977382,2081911
330.0,99.980215,2081970
340.0,99.982328,2082014
350.0,99.984249,2082054
360.0,99.986842,2082108
370.0,99.988811,2082149
380.0,99.990252,2082179
390.0,99.991692,2082209
400.0,99.992701,2082230
410.0,99.993517,2082247
420.0,99.994477,2082267
430.0,99.995294,2082284
440.0,99.996014,2082299
450.0,99.997071,2082321
460.0,99.998127,2082343
470.0,99.998607,2082353
480.0,99.999280,2082367
490.0,99.999664,2082375
500.0,99.999856,2082379
510.0,99.999904,2082380
580.3,99.999952,2082381
600.3,100.000000,2082382
