value_ns,percentile,cumulative_count
2170.8,0.000050,1
2180.8,0.013124,264
2190.8,0.224946,4525
2200.8,0.995630,20028
2210.8,1.900835,38237
2220.8,2.764927,55619
2230.8,3.759265,75621
2240.8,4.882754,98221
2250.8,6.230097,125324
2260.8,7.466879,150203
2270.8,8.204505,165041
2281.9,9.050999,182069
2290.8,11.810458,237578
2301.9,16.117847,324225
2310.8,19.493436,392128
2321.9,21.974657,442040
2330.8,26.521309,533500
2341.9,35.149757,707069
2350.8,42.805144,861064
2361.9,46.128088,927908
2370.8,47.419405,953884
2381.9,48.848821,982638
2390.8,52.255678,1051170
2401.9,57.442670,1155511
2410.8,61.851222,1244193
2421.9,65.062364,1308788
2430.8,68.246313,1372836
2441.9,71.172953,1431708
2450.8,72.986642,1468192
2461.9,74.015083,1488880
2470.8,74.896624,1506613
2481.9,76.396980,1536794
2490.8,78.994030,1589036
2501.9,81.610815,1641675
2510.8,83.392988,1677525
2521.9,84.710801,1704034
2530.8,85.880075,1727555
2541.9,86.883311,1747736
2550.8,87.717577,1764518
2561.9,88.523805,1780736
2570.8,89.407682,1798516
2581.9,90.452528,1819534
2590.8,91.542710,1841464
2601.9,92.383189,1858371
2610.8,92.955771,1869889
2621.9,93.414513,1879117
2630.8,93.858043,1888039
2641.9,94.279699,1896521
2650.8,94.682117,1904616
2661.9,95.066191,1912342
2670.8,95.435153,1919764
2681.9,95.770261,1926505
2690.8,96.052327,1932179
2701.9,96.294474,1937050
2710.8,96.507489,1941335
2721.9,96.724830,1945707
2730.8,96.946843,1950173
2741.9,97.170000,1954662
2750.8,97.384059,1958968
2761.9,97.577389,1962857
2770.8,97.747901,1966287
2781.9,97.893557,1969217
2790.8,98.029867,1971959
2801.9,98.156036,1974497
2810.8,98.273157,1976853
2821.9,98.389732,1979198
2830.8,98.499794,1981412
2841.9,98.610999,1983649
2850.8,98.712113,1985683
2861.9,98.805273,1987557
2870.8,98.892667,1989315
2881.9,98.974990,1990971
2890.8,99.063378,1992749
2901.9,99.145850,1994408
2910.8,99.227228,1996045
2921.9,99.301448,1997538
2930.8,99.369901,1998915
2941.9,99.429854,2000121
2950.8,99.485134,2001233
2961.9,99.533305,2002202
2970.8,99.578741,2003116
2981.9,99.625122,2004049
2990.8,99.667626,2004904
3001.9,99.703468,2005625
3010.8,99.735781,2006275
3021.9,99.763868,2006840
3030.8,99.787233,2007310
3041.9,99.807267,2007713
3050.8,99.825511,2008080
3061.9,99.844551,2008463
3070.8,99.863193,2008838
3081.9,99.879598,2009168
3090.8,99.893269,2009443
3101.9,99.906890,2009717
3110.8,99.917528,2009931
3121.9,99.925780,2010097
3130.8,99.932044,2010223
3141.9,99.937960,2010342
3150.8,99.943378,2010451
3161.9,99.949344,2010571
3170.8,99.953420,2010653
3181.9,99.957944,2010744
3190.8,99.962020,2010826
3201.9,99.964655,2010879
3210.8,99.968334,2010953
3221.9,99.971267,2011012
3230.8,99.973553,2011058
3241.9,99.975890,2011105
3250.8,99.977978,2011147
3261.9,99.979867,2011185
3270.8,99.981457,2011217
3281.9,99.982999,2011248
3290.8,99.984838,2011285
3301.9,99.985832,2011305
3310.8,99.986578,2011320
3321.9,99.987622,2011341
3330.8,99.988616,2011361
3341.9,99.989461,2011378
3350.8,99.990058,2011390
3361.9,99.990654,2011402
3370.8,99.991350,2011416
3381.9,99.991897,2011427
3390.8,99.992344,2011436
3401.9,99.992841,2011446
3410.8,99.993488,2011459
3421.9,99.993935,2011468
3430.8,99.994333,2011476
3441.9,99.994979,2011489
3450.8,99.995476,2011499
3461.9,99.995973,2011509
3470.8,99.996222,2011514
3481.9,99.996520,2011520
3490.8,99.996669,2011523
3501.9,99.996968,2011529
3510.8,99.997067,2011531
3521.9,99.997415,2011538
3530.8,99.997564,2011541
3541.9,99.997813,2011546
3550.8,99.998161,2011553
3561.9,99.998310,2011556
3570.8,99.998459,2011559
3581.9,99.998509,2011560
3590.8,99.998608,2011562
3601.9,99.998956,2011569
3610.8,99.999006,2011570
3630.8,99.999105,2011572
3650.8,99.999155,2011573
3661.9,99.999205,2011574
3670.8,99.999254,2011575
3681.9,99.999304,2011576
3721.9,99.999354,2011577
3741.9,99.999403,2011578
3761.9,99.999453,2011579
3781.9,99.999503,2011580
3801.9,99.999553,2011581
4150.8,99.999602,2011582
4270.8,99.999652,2011583
5110.8,99.999702,2011584
5573.0,99.999751,2011585
6910.8,99.999801,2011586
7070.8,99.999851,2011587
7493.0,99.999901,2011588
11306.3,99.999950,2011589
12381.9,100.000000,2011590
