value_ns,percentile,cumulative_count
2170.8,0.000050,1
2180.8,0.013124,264
2190.8,0.224946,4525
2200.8,0.995629,20028
2210.8,1.900832,38237
2220.8,2.764923,55619
2230.8,3.759259,75621
2240.8,4.882747,98221
2250.8,6.230087,125324
2260.8,7.466868,150203
2270.8,8.204493,165041
2281.9,9.050986,182069
2290.8,11.810441,237578
2301.9,16.117823,324225
2310.8,19.493406,392128
2321.9,21.974624,442040
2330.8,26.521269,533500
2341.9,35.149705,707069
2350.8,42.805080,861064
2361.9,46.128019,927908
2370.8,47.419334,953884
2381.9,48.848748,982638
2390.8,52.255600,1051170
2401.9,57.442584,1155511
2410.8,61.851130,1244193
2421.9,65.062267,1308788
2430.8,68.246211,1372836
2441.9,71.172847,1431708
2450.8,72.986534,1468192
2461.9,74.014972,1488880
2470.8,74.896512,1506613
2481.9,76.396866,1536794
2490.8,78.993912,1589036
2501.9,81.610694,1641675
2510.8,83.392863,1677525
2521.9,84.710675,1704034
2530.8,85.879947,1727555
2541.9,86.883182,1747736
2550.8,87.717446,1764518
2561.9,88.523673,1780736
2570.8,89.407549,1798516
2581.9,90.452393,1819534
2590.8,91.542573,1841464
2601.9,92.383052,1858371
2610.8,92.955633,1869889
2621.9,93.414374,1879117
2630.8,93.857903,1888039
2641.9,94.279559,1896521
2650.8,94.681976,1904616
2661.9,95.066050,1912342
2670.8,95.435011,1919764
2681.9,95.770119,1926505
2690.8,96.052184,1932179
2701.9,96.294330,1937050
2710.8,96.507345,1941335
2721.9,96.724685,1945707
2730.8,96.946698,1950173
2741.9,97.169855,1954662
2750.8,97.383914,1958968
2761.9,97.577244,1962857
2770.8,97.747755,1966287
2781.9,97.893411,1969217
2790.8,98.029721,1971959
2801.9,98.155889,1974497
2810.8,98.273010,1976853
2821.9,98.389585,1979198
2830.8,98.499647,1981412
2841.9,98.610852,1983649
2850.8,98.711966,1985683
2861.9,98.805126,1987557
2870.8,98.892520,1989315
2881.9,98.974842,1990971
2890.8,99.063230,1992749
2901.9,99.145702,1994408
2910.8,99.227080,1996045
2921.9,99.301300,1997538
2930.8,99.369753,1998915
2941.9,99.429706,2000121
2950.8,99.484985,2001233
2961.9,99.533156,2002202
2970.8,99.578593,2003116
2981.9,99.624974,2004049
2990.8,99.667477,2004904
3001.9,99.703320,2005625
3010.8,99.735632,2006275
3021.9,99.763720,2006840
3030.8,99.787084,2007310
3041.9,99.807118,2007713
3050.8,99.825362,2008080
3061.9,99.844402,2008463
3070.8,99.863044,2008838
3081.9,99.879449,2009168
3090.8,99.893120,2009443
3101.9,99.906741,2009717
3110.8,99.917379,2009931
3121.9,99.925631,2010097
3130.8,99.931895,2010223
3141.9,99.937810,2010342
3150.8,99.943229,2010451
3161.9,99.949194,2010571
3170.8,99.953271,2010653
3181.9,99.957795,2010744
3190.8,99.961871,2010826
3201.9,99.964506,2010879
3210.8,99.968184,2010953
3221.9,99.971117,2011012
3230.8,99.973404,2011058
3241.9,99.975741,2011105
3250.8,99.977829,2011147
3261.9,99.979718,2011185
3270.8,99.981308,2011217
3281.9,99.982849,2011248
3290.8,99.984689,2011285
3301.9,99.985683,2011305
3310.8,99.986429,2011320
3321.9,99.987473,2011341
3330.8,99.988467,2011361
3341.9,99.989312,2011378
3350.8,99.989908,2011390
3361.9,99.990505,2011402
3370.8,99.991201,2011416
3381.9,99.991748,2011427
3390.8,99.992195,2011436
3401.9,99.992692,2011446
3410.8,99.993339,2011459
3421.9,99.993786,2011468
3430.8,99.994184,2011476
3441.9,99.994830,2011489
3450.8,99.995327,2011499
3461.9,99.995824,2011509
3470.8,99.996073,2011514
3481.9,99.996371,2011520
3490.8,99.996520,2011523
3501.9,99.996818,2011529
3510.8,99.996918,2011531
3521.9,99.997266,2011538
3530.8,99.997415,2011541
3541.9,99.997664,2011546
3550.8,99.998012,2011553
3561.9,99.998161,2011556
3570.8,99.998310,2011559
3581.9,99.998360,2011560
3590.8,99.998459,2011562
3601.9,99.998807,2011569
3610.8,99.998857,2011570
3630.8,99.998956,2011572
3650.8,99.999006,2011573
3661.9,99.999055,2011574
3670.8,99.999105,2011575
3681.9,99.999155,2011576
3721.9,99.999205,2011577
3741.9,99.999254,2011578
3761.9,99.999304,2011579
3781.9,99.999354,2011580
3801.9,99.999403,2011581
4150.8,99.999453,2011582
4270.8,99.999503,2011583
4381.9,99.999553,2011584
5110.8,99.999602,2011585
5573.0,99.999652,2011586
6910.8,99.999702,2011587
7070.8,99.999751,2011588
7301.9,99.999801,2011589
7493.0,99.999851,2011590
8381.9,99.999901,2011591
11306.3,99.999950,2011592
12381.9,100.000000,2011593
