value_ns,percentile,cumulative_count
10.0,0.511944,10661
20.0,41.012719,854071
30.0,89.650768,1866936
40.0,99.358833,2069102
50.0,99.890274,2080169
60.0,99.904920,2080474
70.0,99.907033,2080518
80.0,99.908329,2080545
90.0,99.912651,2080635
100.0,99.922543,2080841
110.0,99.926337,2080920
120.0,99.930803,2081013
130.0,99.935509,2081111
140.0,99.936469,2081131
150.0,99.936853,2081139
160.0,99.937141,2081145
170.0,99.939110,2081186
180.0,99.943048,2081268
190.0,99.948282,2081377
200.0,99.950491,2081423
210.0,99.955725,2081532
220.0,99.962928,2081682
230.0,99.964657,2081718
240.0,99.965810,2081742
250.0,99.969219,2081813
260.0,99.976758,2081970
270.0,99.986794,2082179
280.0,99.995966,2082370
290.0,99.998655,2082426
300.0,99.998896,2082431
320.0,99.998944,2082432
340.0,99.999040,2082434
350.0,99.999088,2082435
370.0,99.999184,2082437
390.0,99.999232,2082438
400.0,99.999280,2082439
420.0,99.999328,2082440
440.0,99.999376,2082441
450.0,99.999424,2082442
460.0,99.999568,2082445
470.0,99.999616,2082446
480.0,99.999664,2082447
490.0,99.999760,2082449
510.0,99.999808,2082450
520.0,99.999904,2082452
570.3,99.999952,2082453
670.3,100.000000,2082454
