value_ns,percentile,cumulative_count
20799.0,0.000048,1
20815.0,0.000096,2
20895.0,0.000144,3
21103.0,0.000192,4
21215.0,0.000240,5
21247.0,0.000288,6
21263.0,0.000336,7
21455.0,0.000432,9
21647.0,0.000480,10
21823.0,0.000528,11
21967.0,0.000576,12
22143.0,0.000624,13
22335.0,0.000672,14
22447.0,0.000720,15
22591.0,0.000768,16
22783.0,0.000816,17
22959.0,0.000864,18
23279.0,0.000912,19
23599.0,0.000960,20
23775.0,0.001008,21
23807.0,0.001056,22
24031.0,0.001105,23
24335.0,0.001153,24
24383.0,0.001201,25
24655.0,0.001249,26
24959.0,0.001297,27
25071.0,0.001345,28
25215.0,0.001393,29
25263.0,0.001441,30
25503.0,0.001489,31
25631.0,0.001537,32
25743.0,0.001585,33
25999.0,0.001633,34
26191.0,0.001681,35
27119.0,0.001729,36
27503.0,0.001777,37
27583.0,0.001825,38
27631.0,0.001873,39
27663.0,0.001921,40
27775.0,0.001969,41
27791.0,0.002017,42
27807.0,0.002257,47
27823.0,0.002401,50
27839.0,0.002737,57
27855.0,0.004130,86
27871.0,0.005955,124
27887.0,0.008932,186
27903.0,0.012246,255
27919.0,0.019833,413
27935.0,0.029726,619
27951.0,0.043316,902
27967.0,0.063965,1332
27983.0,0.093018,1937
27999.0,0.134942,2810
28015.0,0.193768,4035
28031.0,0.271708,5658
28047.0,0.376732,7845
28063.0,0.511530,10652
28079.0,0.680615,14173
28095.0,0.895705,18652
28111.0,1.170631,24377
28127.0,1.507648,31395
28143.0,1.911897,39813
28159.0,2.392741,49826
28175.0,2.955077,61536
28191.0,3.611633,75208
28207.0,4.374798,91100
28223.0,5.236407,109042
28239.0,6.194781,128999
28255.0,7.258611,151152
28271.0,8.424151,175423
28287.0,9.697788,201945
28303.0,11.066942,230456
28319.0,12.538766,261105
28335.0,14.110764,293840
28351.0,15.743941,327849
28367.0,17.464951,363687
28383.0,19.227932,400399
28399.0,21.055983,438466
28415.0,22.934361,477581
28431.0,24.854229,517560
28447.0,26.802575,558132
28463.0,28.788282,599482
28479.0,30.795214,641274
28495.0,32.790141,682816
28511.0,34.784780,724352
28527.0,36.761699,765519
28543.0,38.737753,806668
28559.0,40.705452,847643
28575.0,42.639967,887927
28591.0,44.526220,927206
28607.0,46.390096,966019
28623.0,48.205565,1003824
28639.0,49.993181,1041049
28655.0,51.740171,1077428
28671.0,53.445813,1112946
28687.0,55.114287,1147690
28703.0,56.736708,1181475
28719.0,58.293963,1213903
28735.0,59.831097,1245912
28751.0,61.301193,1276525
28767.0,62.738345,1306452
28783.0,64.135543,1335547
28799.0,65.490722,1363767
28815.0,66.792116,1390867
28831.0,68.048946,1417039
28847.0,69.256986,1442195
28863.0,70.409416,1466193
28879.0,71.544318,1489826
28895.0,72.625676,1512344
28911.0,73.677980,1534257
28927.0,74.675060,1555020
28943.0,75.636843,1575048
28959.0,76.551613,1594097
28975.0,77.420954,1612200
28991.0,78.270029,1629881
29007.0,79.067914,1646496
29023.0,79.834103,1662451
29039.0,80.567350,1677720
29055.0,81.254736,1692034
29071.0,81.908843,1705655
29087.0,82.534040,1718674
29103.0,83.127207,1731026
29119.0,83.685222,1742646
29135.0,84.203619,1753441
29151.0,84.697236,1763720
29167.0,85.172221,1773611
29183.0,85.618489,1782904
29199.0,86.032054,1791516
29215.0,86.430684,1799817
29231.0,86.794402,1807391
29247.0,87.141696,1814623
29263.0,87.462051,1821294
29279.0,87.768142,1827668
29295.0,88.050079,1833539
29311.0,88.318810,1839135
29327.0,88.570733,1844381
29343.0,88.804264,1849244
29359.0,89.026653,1853875
29375.0,89.231563,1858142
29391.0,89.427924,1862231
29407.0,89.613913,1866104
29423.0,89.789866,1869768
29439.0,89.954677,1873200
29455.0,90.110940,1876454
29471.0,90.255054,1879455
29487.0,90.389660,1882258
29503.0,90.515381,1884876
29519.0,90.629817,1887259
29535.0,90.740076,1889555
29551.0,90.842074,1891679
29567.0,90.940519,1893729
29583.0,91.033105,1895657
29599.0,91.119881,1897464
29615.0,91.201230,1899158
29631.0,91.277729,1900751
29647.0,91.348753,1902230
29663.0,91.415312,1903616
29679.0,91.476012,1904880
29695.0,91.534694,1906102
29711.0,91.594530,1907348
29727.0,91.645385,1908407
29743.0,91.694800,1909436
29759.0,91.742917,1910438
29775.0,91.788538,1911388
29791.0,91.832526,1912304
29807.0,91.873585,1913159
29823.0,91.914980,1914021
29839.0,91.949028,1914730
29855.0,91.982883,1915435
29871.0,92.015682,1916118
29887.0,92.048865,1916809
29903.0,92.078255,1917421
29919.0,92.107260,1918025
29935.0,92.136409,1918632
29951.0,92.162197,1919169
29967.0,92.190962,1919768
29983.0,92.215357,1920276
29999.0,92.241289,1920816
30015.0,92.264340,1921296
30031.0,92.286478,1921757
30047.0,92.307271,1922190
30063.0,92.327921,1922620
30079.0,92.348906,1923057
30095.0,92.369652,1923489
30111.0,92.389581,1923904
30127.0,92.408790,1924304
30143.0,92.427230,1924688
30159.0,92.446487,1925089
30175.0,92.463727,1925448
30191.0,92.479286,1925772
30207.0,92.494461,1926088
30223.0,92.509203,1926395
30239.0,92.523658,1926696
30255.0,92.537296,1926980
30271.0,92.551751,1927281
30287.0,92.563516,1927526
30303.0,92.575570,1927777
30319.0,92.587335,1928022
30335.0,92.599245,1928270
30351.0,92.609521,1928484
30367.0,92.621094,1928725
30383.0,92.631995,1928952
30399.0,92.642272,1929166
30415.0,92.652021,1929369
30431.0,92.663066,1929599
30447.0,92.672910,1929804
30463.0,92.681602,1929985
30479.0,92.690102,1930162
30495.0,92.699082,1930349
30511.0,92.708590,1930547
30527.0,92.717186,1930726
30543.0,92.725110,1930891
30559.0,92.733130,1931058
30575.0,92.742206,1931247
30591.0,92.750225,1931414
30607.0,92.759302,1931603
30623.0,92.766841,1931760
30639.0,92.774380,1931917
30655.0,92.783169,1932100
30671.0,92.792677,1932298
30687.0,92.801609,1932484
30703.0,92.811405,1932688
30719.0,92.821058,1932889
30735.0,92.831863,1933114
30751.0,92.843580,1933358
30767.0,92.854961,1933595
30783.0,92.867591,1933858
30799.0,92.881758,1934153
30815.0,92.895156,1934432
30831.0,92.906585,1934670
30847.0,92.918975,1934928
30863.0,92.934197,1935245
30879.0,92.948268,1935538
30895.0,92.960994,1935803
30911.0,92.975881,1936113
30927.0,92.989423,1936395
30943.0,93.005510,1936730
30959.0,93.021789,1937069
30975.0,93.041382,1937477
30991.0,93.058574,1937835
31007.0,93.077591,1938231
31023.0,93.096416,1938623
31039.0,93.117689,1939066
31055.0,93.138915,1939508
31071.0,93.161965,1939988
31087.0,93.185256,1940473
31103.0,93.207490,1940936
31119.0,93.232414,1941455
31135.0,93.260218,1942034
31151.0,93.290136,1942657
31167.0,93.321110,1943302
31183.0,93.354629,1944000
31199.0,93.389878,1944734
31215.0,93.429544,1945560
31231.0,93.472715,1946459
31247.0,93.518192,1947406
31263.0,93.569672,1948478
31279.0,93.621968,1949567
31295.0,93.681419,1950805
31311.0,93.743655,1952101
31327.0,93.807908,1953439
31343.0,93.878165,1954902
31359.0,93.954327,1956488
31375.0,94.031979,1958105
31391.0,94.111263,1959756
31407.0,94.204377,1961695
31423.0,94.298164,1963648
31439.0,94.395505,1965675
31455.0,94.494478,1967736
31471.0,94.597197,1969875
31487.0,94.701549,1972048
31503.0,94.810654,1974320
31519.0,94.924802,1976697
31535.0,95.040151,1979099
31551.0,95.157469,1981542
31567.0,95.272385,1983935
31583.0,95.391672,1986419
31599.0,95.510478,1988893
31615.0,95.630965,1991402
31631.0,95.748619,1993852
31647.0,95.869922,1996378
31663.0,95.993146,1998944
31679.0,96.112337,2001426
31695.0,96.229462,2003865
31711.0,96.351198,2006400
31727.0,96.463809,2008745
31743.0,96.573827,2011036
31759.0,96.683173,2013313
31775.0,96.791511,2015569
31791.0,96.899656,2017821
31807.0,97.007321,2020063
31823.0,97.111289,2022228
31839.0,97.214200,2024371
31855.0,97.316535,2026502
31871.0,97.417669,2028608
