value_ns,percentile,cumulative_count
20799.0,0.000048,1
20815.0,0.000096,2
20895.0,0.000144,3
21103.0,0.000192,4
21215.0,0.000240,5
21247.0,0.000288,6
21263.0,0.000336,7
21455.0,0.000432,9
21647.0,0.000480,10
21823.0,0.000528,11
21967.0,0.000576,12
22143.0,0.000624,13
22335.0,0.000672,14
22447.0,0.000720,15
22591.0,0.000768,16
22783.0,0.000816,17
22959.0,0.000864,18
23279.0,0.000912,19
23599.0,0.000960,20
23775.0,0.001008,21
23807.0,0.001056,22
24031.0,0.001104,23
24335.0,0.001153,24
24383.0,0.001201,25
24655.0,0.001249,26
24959.0,0.001297,27
25071.0,0.001345,28
25215.0,0.001393,29
25263.0,0.001441,30
25503.0,0.001489,31
25631.0,0.001537,32
25743.0,0.001585,33
25999.0,0.001633,34
26191.0,0.001681,35
27119.0,0.001729,36
27503.0,0.001777,37
27583.0,0.001825,38
27631.0,0.001873,39
27663.0,0.001921,40
27775.0,0.001969,41
27791.0,0.002017,42
27807.0,0.002257,47
27823.0,0.002401,50
27839.0,0.002737,57
27855.0,0.004130,86
27871.0,0.005955,124
27887.0,0.008932,186
27903.0,0.012246,255
27919.0,0.019833,413
27935.0,0.029725,619
27951.0,0.043316,902
27967.0,0.063965,1332
27983.0,0.093018,1937
27999.0,0.134941,2810
28015.0,0.193767,4035
28031.0,0.271706,5658
28047.0,0.376730,7845
28063.0,0.511526,10652
28079.0,0.680611,14173
28095.0,0.895699,18652
28111.0,1.170623,24377
28127.0,1.507639,31395
28143.0,1.911885,39813
28159.0,2.392726,49826
28175.0,2.955059,61536
28191.0,3.611611,75208
28207.0,4.374770,91100
28223.0,5.236374,109042
28239.0,6.194742,128999
28255.0,7.258565,151152
28271.0,8.424098,175423
28287.0,9.697728,201945
28303.0,11.066873,230456
28319.0,12.538687,261105
28335.0,14.110675,293840
28351.0,15.743843,327849
28367.0,17.464842,363687
28383.0,19.227812,400399
28399.0,21.055852,438466
28415.0,22.934218,477581
28431.0,24.854074,517560
28447.0,26.802408,558132
28463.0,28.788102,599482
28479.0,30.795022,641274
28495.0,32.789937,682816
28511.0,34.784563,724352
28527.0,36.761469,765519
28543.0,38.737511,806668
28559.0,40.705198,847643
28575.0,42.639701,887927
28591.0,44.525942,927206
28607.0,46.389806,966019
28623.0,48.205264,1003824
28639.0,49.992869,1041049
28655.0,51.739848,1077428
28671.0,53.445480,1112946
28687.0,55.113943,1147690
28703.0,56.736354,1181475
28719.0,58.293599,1213903
28735.0,59.830724,1245912
28751.0,61.300810,1276525
28767.0,62.737953,1306452
28783.0,64.135142,1335547
28799.0,65.490313,1363767
28815.0,66.791699,1390867
28831.0,68.048521,1417039
28847.0,69.256553,1442195
28863.0,70.408976,1466193
28879.0,71.543871,1489826
28895.0,72.625222,1512344
28911.0,73.677520,1534257
28927.0,74.674593,1555020
28943.0,75.636371,1575048
28959.0,76.551135,1594097
28975.0,77.420470,1612200
28991.0,78.269541,1629881
29007.0,79.067420,1646496
29023.0,79.833605,1662451
29039.0,80.566847,1677720
29055.0,81.254229,1692034
29071.0,81.908332,1705655
29087.0,82.533525,1718674
29103.0,83.126688,1731026
29119.0,83.684700,1742646
29135.0,84.203093,1753441
29151.0,84.696707,1763720
29167.0,85.171689,1773611
29183.0,85.617954,1782904
29199.0,86.031517,1791516
29215.0,86.430144,1799817
29231.0,86.793860,1807391
29247.0,87.141152,1814623
29263.0,87.461505,1821294
29279.0,87.767595,1827668
29295.0,88.049530,1833539
29311.0,88.318259,1839135
29327.0,88.570180,1844381
29343.0,88.803709,1849244
29359.0,89.026097,1853875
29375.0,89.231006,1858142
29391.0,89.427366,1862231
29407.0,89.613354,1866104
29423.0,89.789305,1869768
29439.0,89.954115,1873200
29455.0,90.110378,1876454
29471.0,90.254491,1879455
29487.0,90.389095,1882258
29503.0,90.514816,1884876
29519.0,90.629251,1887259
29535.0,90.739509,1889555
29551.0,90.841507,1891679
29567.0,90.939951,1893729
29583.0,91.032537,1895657
29599.0,91.119312,1897464
29615.0,91.200661,1899158
29631.0,91.277159,1900751
29647.0,91.348183,1902230
29663.0,91.414741,1903616
29679.0,91.475441,1904880
29695.0,91.534123,1906102
29711.0,91.593958,1907348
29727.0,91.644813,1908407
29743.0,91.694227,1909436
29759.0,91.742345,1910438
29775.0,91.787965,1911388
29791.0,91.831953,1912304
29807.0,91.873012,1913159
29823.0,91.914406,1914021
29839.0,91.948454,1914730
29855.0,91.982309,1915435
29871.0,92.015108,1916118
29887.0,92.048291,1916809
29903.0,92.077680,1917421
29919.0,92.106685,1918025
29935.0,92.135834,1918632
29951.0,92.161622,1919169
29967.0,92.190387,1919768
29983.0,92.214782,1920276
29999.0,92.240713,1920816
30015.0,92.263764,1921296
30031.0,92.285902,1921757
30047.0,92.306695,1922190
30063.0,92.327344,1922620
30079.0,92.348330,1923057
30095.0,92.369075,1923489
30111.0,92.389004,1923904
30127.0,92.408213,1924304
30143.0,92.426653,1924688
30159.0,92.445910,1925089
30175.0,92.463149,1925448
30191.0,92.478708,1925772
30207.0,92.493883,1926088
30223.0,92.508626,1926395
30239.0,92.523080,1926696
30255.0,92.536719,1926980
30271.0,92.551173,1927281
30287.0,92.562938,1927526
30303.0,92.574992,1927777
30319.0,92.586757,1928022
30335.0,92.598666,1928270
30351.0,92.608943,1928484
30367.0,92.620516,1928725
30383.0,92.631417,1928952
30399.0,92.641694,1929166
30415.0,92.651442,1929369
30431.0,92.662487,1929599
30447.0,92.672332,1929804
30463.0,92.681024,1929985
30479.0,92.689523,1930162
30495.0,92.698503,1930349
30511.0,92.708012,1930547
30527.0,92.716608,1930726
30543.0,92.724531,1930891
30559.0,92.732551,1931058
30575.0,92.741627,1931247
30591.0,92.749646,1931414
30607.0,92.758723,1931603
30623.0,92.766262,1931760
30639.0,92.773801,1931917
30655.0,92.782589,1932100
30671.0,92.792098,1932298
30687.0,92.801030,1932484
30703.0,92.810826,1932688
30719.0,92.820478,1932889
30735.0,92.831283,1933114
30751.0,92.843000,1933358
30767.0,92.854382,1933595
30783.0,92.867011,1933858
30799.0,92.881178,1934153
30815.0,92.894576,1934432
30831.0,92.906005,1934670
30847.0,92.918394,1934928
30863.0,92.933617,1935245
30879.0,92.947688,1935538
30895.0,92.960413,1935803
30911.0,92.975300,1936113
30927.0,92.988842,1936395
30943.0,93.004929,1936730
30959.0,93.021209,1937069
30975.0,93.040802,1937477
30991.0,93.057993,1937835
31007.0,93.077010,1938231
31023.0,93.095834,1938623
31039.0,93.117108,1939066
31055.0,93.138334,1939508
31071.0,93.161384,1939988
31087.0,93.184674,1940473
31103.0,93.206908,1940936
31119.0,93.231832,1941455
31135.0,93.259636,1942034
31151.0,93.289554,1942657
31167.0,93.320528,1943302
31183.0,93.354047,1944000
31199.0,93.389295,1944734
31215.0,93.428960,1945560
31231.0,93.472132,1946459
31247.0,93.517608,1947406
31263.0,93.569088,1948478
31279.0,93.621383,1949567
31295.0,93.680834,1950805
31311.0,93.743070,1952101
31327.0,93.807323,1953439
31343.0,93.877578,1954902
31359.0,93.953741,1956488
31375.0,94.031392,1958105
31391.0,94.110675,1959756
31407.0,94.203789,1961695
31423.0,94.297576,1963648
31439.0,94.394915,1965675
31455.0,94.493888,1967736
31471.0,94.596606,1969875
31487.0,94.700957,1972048
31503.0,94.810062,1974320
31519.0,94.924210,1976697
31535.0,95.039558,1979099
31551.0,95.156875,1981542
31567.0,95.271790,1983935
31583.0,95.391076,1986419
31599.0,95.509882,1988893
31615.0,95.630368,1991402
31631.0,95.748021,1993852
31647.0,95.869324,1996378
31663.0,95.992547,1998944
31679.0,96.111737,2001426
31695.0,96.228861,2003865
31711.0,96.350596,2006400
31727.0,96.463207,2008745
31743.0,96.573225,2011036
31759.0,96.682570,2013313
31775.0,96.790907,2015569
31791.0,96.899051,2017821
31807.0,97.006716,2020063
31823.0,97.110683,2022228
31839.0,97.213593,2024371
31855.0,97.315927,2026502
31871.0,97.417061,2028608
