rate_ns,offered_kpps,delivered_pct,uncorr_p50,uncorr_p99,uncorr_p99_99,co_p99_99,max
200,5000,99.8,2422,2991,3391,3231,12890
350,2857,100.0,2431,3031,3502,3291,12400
500,2000,100.0,2402,2971,3442,3262,12800
750,1333,100.0,2402,3022,3502,3482,12860
1000,1000,100.0,2411,3031,3511,3491,14200
1500,667,100.0,2411,3031,3511,3511,12730
2000,500,100.0,2411,3022,3502,3502,13270
3000,333,100.0,2411,2962,3402,3411,14200
4000,250,100.0,2391,2902,3371,3371,11950
6000,167,100.0,2402,2911,3391,3391,12980
10000,100,100.0,2422,2962,3462,3462,12440
